cod;nome;período;valor
25;PB;2005;20.72
24;RN;2005;13.52
23;CE;2005;20.98
22;PI;2005;12.24
21;MA;2005;15.32
17;TO;2005;14.55
16;AP;2005;32.96
15;PA;2005;27.63
14;RR;2005;24.28
13;AM;2005;18.53
12;AC;2005;18.51
11;RO;2005;36.17
32;ES;2005;47
53;DF;2005;28.16
52;GO;2005;26.12
51;MT;2005;32.36
50;MS;2005;27.87
43;RS;2005;18.64
42;SC;2005;10.79
41;PR;2005;29.01
35;SP;2005;21.93
33;RJ;2005;48.16
31;MG;2005;21.95
29;BA;2005;20.85
28;SE;2005;24.75
27;AL;2005;39.89
43;RS;2006;18.09
14;RR;2006;27.52
52;GO;2006;26.33
53;DF;2006;27.69
50;MS;2006;29.72
11;RO;2006;37.44
26;PE;2006;52.6
27;AL;2006;53.1
35;SP;2006;20.4
15;PA;2006;29.15
51;MT;2006;31.36
13;AM;2006;21.11
12;AC;2006;23.01
16;AP;2006;32.81
17;TO;2006;17.19
21;MA;2006;15.67
22;PI;2006;13.77
23;CE;2006;21.81
24;RN;2006;14.95
25;PB;2006;22.77
28;SE;2006;29.24
29;BA;2006;23.73
31;MG;2006;21.44
32;ES;2006;50.86
33;RJ;2006;47.48
41;PR;2006;29.82
42;SC;2006;11.18
22;PI;2007;12.49
11;RO;2007;27.17
12;AC;2007;19.48
14;RR;2007;27.93
53;DF;2007;29.21
52;GO;2007;26.04
51;MT;2007;30.55
50;MS;2007;30.46
43;RS;2007;19.85
42;SC;2007;10.45
41;PR;2007;29.54
35;SP;2007;15.45
33;RJ;2007;41.62
32;ES;2007;53.33
31;MG;2007;20.92
29;BA;2007;25.98
28;SE;2007;25.67
27;AL;2007;59.51
26;PE;2007;53.04
25;PB;2007;23.67
23;CE;2007;23.19
21;MA;2007;17.99
17;TO;2007;16.63
15;PA;2007;30.27
16;AP;2007;27.02
13;AM;2007;21.1
24;RN;2007;19.1
23;CE;2008;23.89
53;DF;2008;31.75
52;GO;2008;30.66
51;MT;2008;31.68
50;MS;2008;29.92
43;RS;2008;21.92
42;SC;2008;13.25
41;PR;2008;32.53
35;SP;2008;15.44
33;RJ;2008;35.67
32;ES;2008;56.38
31;MG;2008;19.59
29;BA;2008;33.23
28;SE;2008;27.76
27;AL;2008;60.33
25;PB;2008;27.49
24;RN;2008;22.98
22;PI;2008;11.57
21;MA;2008;20.25
17;TO;2008;18.51
16;AP;2008;34.25
15;PA;2008;39.06
14;RR;2008;25.44
13;AM;2008;24.84
12;AC;2008;19.56
11;RO;2008;32.14
26;PE;2008;50.9
42;SC;2009;13.4
25;PB;2009;33.5
23;CE;2009;25.33
26;PE;2009;44.98
27;AL;2009;59.35
28;SE;2009;32.33
29;BA;2009;37.11
31;MG;2009;18.68
32;ES;2009;56.92
33;RJ;2009;33.51
35;SP;2009;15.84
41;PR;2009;34.61
43;RS;2009;20.54
50;MS;2009;30.71
12;AC;2009;22.14
13;AM;2009;26.99
15;PA;2009;40.22
16;AP;2009;30.32
17;TO;2009;22.37
51;MT;2009;33.31
52;GO;2009;32.09
53;DF;2009;33.83
14;RR;2009;28
24;RN;2009;25.5
11;RO;2009;35.77
21;MA;2009;21.96
22;PI;2009;12.24
22;PI;2010;13.18
31;MG;2010;18.6
23;CE;2010;31.8
21;MA;2010;23.1
12;AC;2010;22.49
13;AM;2010;31.06
14;RR;2010;26.86
15;PA;2010;46.44
16;AP;2010;38.83
17;TO;2010;23.64
53;DF;2010;30.58
52;GO;2010;32.96
51;MT;2010;32.03
50;MS;2010;26.79
42;SC;2010;13.17
41;PR;2010;34.33
35;SP;2010;14.64
33;RJ;2010;35.44
32;ES;2010;50.98
29;BA;2010;41.69
28;SE;2010;32.69
27;AL;2010;66.88
26;PE;2010;39.48
25;PB;2010;38.63
24;RN;2010;25.57
43;RS;2010;19.5
11;RO;2010;34.95
52;GO;2011;37.36
22;PI;2011;14.01
50;MS;2011;27.16
43;RS;2011;19.35
42;SC;2011;12.84
41;PR;2011;32.11
35;SP;2011;14.05
33;RJ;2011;29.67
32;ES;2011;47.14
29;BA;2011;39.36
28;SE;2011;34.98
27;AL;2011;71.39
26;PE;2011;39.15
25;PB;2011;42.57
16;AP;2011;30.54
15;PA;2011;39.97
14;RR;2011;20.64
13;AM;2011;36.51
12;AC;2011;21.97
17;TO;2011;25.77
21;MA;2011;23.94
24;RN;2011;32.95
11;RO;2011;28.55
23;CE;2011;32.73
31;MG;2011;21.6
53;DF;2011;34.56
51;MT;2011;32.8
15;PA;2012;41.37
53;DF;2012;36.02
52;GO;2012;45.38
51;MT;2012;34.47
50;MS;2012;27.26
43;RS;2012;22.12
42;SC;2012;12.86
41;PR;2012;32.98
33;RJ;2012;29.4
35;SP;2012;15.67
32;ES;2012;46.59
31;MG;2012;22.98
29;BA;2012;43.37
28;SE;2012;41.64
27;AL;2012;64.63
26;PE;2012;37.25
25;PB;2012;39.97
24;RN;2012;34.82
